Rating_Number,Votes_Number,Computer_Score,Group_Rank,Group_Rank_Size,Total_Rank,Total_Rank_Size,PPI,HDMI,WiFi,Inbuilt Microphone,Bluetooth,SSD Interface,Keyboard,Microphone In,Speakers,Keyboard Backlit,Anti Glare Screen,GPU,Model,Series,Size,Warranty,Device Type,Touch,Processor,Resolution,OS,Battery,Features,Generation,RAM,Optical Drive,Adapter Type,Solid State Drive,Cache,Battery Details,Dimensions,Touchpad,Headphone Jack,Camera,Speed,RAM Bus Speed,Cores,Sales Package,Weight,Security Lock Port,Brand,Utility,USB Ports,Process Node,Ethernet,Type,Price
4.4,161,3,282,332,1601,2352,~ 164PPI,No,802.11 a/b/g/n/ac/ax,Internal Microphone,Yes,No,Standard Notebook Keyboard,No,Dual Speakers,Yes,Yes,Iris Xe,XPS 9315,XPS,13.4inches,1year Warranty,No,Yes,12th Gen Intel Core i7 1250U,1920x1080pixels,Windows 11 Home (64-bit),No,"InfinityEdge FHD Plus Display, 500 Nits Brightness",12th Gen,16GB LPDDR5,No,No,512GB,12MB,No,No,Multi-touch Gesture Support,No,Yes,10 x (Turbo Speed upto 4.7GHz) Cores,5200MHz,"10 Cores, 12 Threads",No,No,No,Intel,No,2 x USB Type-C,No,No,LED,"73,990"
4.5,58,3,215,227,2055,2352,~ 164PPI,No,IEEE 802.11a/b/g/n/ac/ax,Dual Microphone Array,v5,No,Internal UK/Irish Qwerty,No,Stereo Speakers,Yes,Yes,Intel Iris Xe Graphics,1240P,XPS 13,13.4inches,1year Warranty,Ultrabook,Yes,12th Gen Intel Core i5 1240P,3840x2400pixels,Windows 11 Home (64-bit),3 Cell Battery,InfinityEdge,12th Gen,16GB LPDDR5,No,No,512GB,12MB,No,295x199x15mm,Yes,No,Yes,4 x 1.7GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 1.2GHz (Turbo Speed upto 3.3GHz) Efficient Cores,5200MHz,"12 Cores (4P + 8E), 16 Threads","Laptop, Battery, AC Adapter, User Guide, Manuals, Stylus",1.24kg,No,Intel,"Business, Performance",2 x USB Type-C,12 nm,No,OLED,"1,10,490"
4.75,68,3,132,139,1994,2352,~ 157PPI,1 x HDMI Port,802.11 b/g/n/ax,Internal Microphone,v5,No,Full-size island-style keyboard with numeric keypad,Yes,Dual Speakers,No,Yes,Intel UHD,E14 (20RAS0ET00),Core i5,14inches,1year Warranty,Netbook,No,10th Gen Intel Core i5 10210U,1920x1080pixels,Windows 10 Professional (64-bit),3 Cell Battery,Full HD Display,10th Gen,8GB DDR4,No,No,512GB,6MB,No,325x232x21mm,Multi-Touch Gestures Enabled,Yes,Yes,4 x 1.6GHz (Turbo Speed upto 4.2GHz) Cores,2666MHz,"Quad Core, 8 Threads",No,1.77kg,No,Intel,"Business, Performance","1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",No,Yes,LED,"1,30,000"
4.3,103,2,137,159,669,2352,~ 141PPI,1 x HDMI Port,IEEE 802.11a/b/g/n/ac,Built-in Digital Microphone,v4,No,FineTip Keyboard with Independent Standard Numeric Keypad (International Language Support),Yes,Built-in Dual Speakers,No,Yes,NVIDIA Geforce MX130,A515-51G,Aspire 5,15.6inches,1year Warranty,Netbook,No,7th Gen Intel Core i5 7200U,1920x1080pixels,Windows 10 Home (64-bit),4 Cell Battery,Backlit TFT Display,7th Gen,8GB DDR4,No,No,No,3MB,No,381.6x263x21mm,Multi Gesture Touchpad,Yes,Yes,2 x 2.5GHz (Turbo Speed upto 3.1GHz) Cores,No,"Dual Core, 4 Threads","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",2kg,Kensington Lock Slot,Intel,Performance,"1 x USB Type-C, 1 x USB 3.0",No,"Gigabit Ethernet, Wake-on-LAN Ready",Full HD LED,"1,73,990"
4.35,221,2,153,292,907,2352,~ 141PPI,1 x HDMI 2.0 Port,"11ac, 2x2",Built-in Array microphone,v5,No,"White Backlit, English, Yes",Yes,Built-in Stereo Speakers,Yes,Yes,NVIDIA GeForce RTX 3050,"15ACH6, 15ACH6",IdeaPad Gaming 3,15.6inches,1year Warranty,Netbook,No,5th Gen AMD Ryzen 5  5600H,1920x1080pixels,Windows 10 Home (64-bit),45Wh Battery,"Full HD (IPS 250nits , 120Hz, 45% NTSC, DC dimmer)",5th Gen,8GB DDR4,No,170W Slim Tip,512GB,16MB,No,No,Yes,Yes,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,No,"Hexa Core, 12 Threads","Laptop, battery, adapter, cables and user manuals",2.25kg,No,AMD,Gaming,"2 x USB 3.0, 1 x USB 2.0",No,100/1000M,IPS,"79,990"
3.9,3,2,177,447,1121,2352,~ 138PPI,1 x HDMI 1.4 Port,802.11ac,Built-in Microphone,v5,No,"English International , Yes",Yes,Built-in Speaker,Yes,Yes,Intel Iris Xe,Vostro 5620,Vostro,16inches,1year Onsite Warranty,Ultrabook,No,12th Gen Intel Core i5 1240P,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,60 Hz Refresh Rate,12th Gen,8GB DDR4,No,No,512GB,12MB,No,356.8x251.9x18.2mm,Yes,Yes,Yes,4 x 1.7GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 1.2GHz (Turbo Speed upto 3.3GHz) Efficient Cores,3200MHz,"12 Cores (4P + 8E), 16 Threads","Laptop, Battery, Adapter, Cables and User Manuals",1.91kg,Kensington Lock Port,Intel,"Everyday Use, Performance","1 x USB Type-C, 2 x USB 3.0",12 nm,Yes,Full HD,"57,327"
4.05,108,2,196,453,989,2352,~ 141PPI,1 x HDMI 2.1 Port,Yes,Integrated Dual Array Digital Microphones,v5.2,No,"Full-size, Natural Silver Keyboard With Numeric Keypad",Yes,Dual speakers,Yes,Yes,Intel Iris Xᵉ Graphics,Pavilion 14-dv2016TU,Pavilion,14inches,1year Warranty,Netbook,No,12th Gen Intel Core i5 1235U,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,"Micro-edge, BrightView, 250 nits, 45% NTSC",12th Gen,16GB DDR4,No,65 W Smart AC power adapter,512GB,12MB,No,325x216.6x17mm,Yes,Yes,Yes,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,3200MHz,"10 Cores (2P + 8E), 12 Threads",No,1.41kg,Kensington Nano Security Lock Slot,Intel,"Business, Performance","1 x USB Type-C, 2 x USB 3.0",10 nm,No,IPS,"66,490"
4.05,72,3,375,453,1604,2352,~ 141PPI,1 x HDMI Port,Yes,Yes,Yes,No,No,Yes,Dolby Audio Speakers,Yes,Yes,Intel Iris Xe Integrated Graphics,Slim 5i 82FG00BQIN,IdeaPad Slim 5i,15.6inches,1year Warranty,No,No,11th Gen Intel Core i5 1135G7,1920x1080pixels,Windows 10 Home (64-bit),3 Cell Battery,No,11th Gen,8GB DDR4,No,No,256GB,8MB,No,356x233x18mm,Yes,Yes,Yes,4 x (Turbo Speed upto 4.2GHz) Cores,3200MHz,"Quad Core, 8 Threads","Laptop, Power Adapter, User Manual",1.66kg,No,Intel,No,3 x USB 3.0,No,No,LED,"65,500"
4.15,105,2,242,376,1218,2352,~ 141PPI,1 x HDMI Port,802.11 b/g/n/ax,Dual array Far-Field Microphone,v5,No,Standard Notebook Keyboard,Yes,Stereo Speakers,No,Yes,NVIDIA Quadro P620,P15v (20TQS03T00),Core i7,15.6inches,1year Warranty,Netbook,No,10th Gen Intel Core i7 10750H,1920x1080pixels,Windows 10 Professional (64-bit),6 Cell Battery,"Full HD LED Backlit IPS Display, 300 nits, 45% NTSC",10th Gen,16GB DDR4,No,No,1TB,12MB,No,367x250x24mm,with Multi-touch Gesture Support,Yes,Yes,6 x 2.6GHz (Turbo Speed upto 5GHz) Cores,No,"Hexa Core, 12 Threads","\u200eLaptop , Adaptor & User Manuals\n",2.7kg,No,Intel,Everyday Use,"1 x USB Type-C, 2 x USB 3.0",No,No,LED,"68,500"
4.3,617,3,396,453,1729,2352,~ 157PPI,1 x HDMI 2.0 Port,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Intel Iris Xe Graphics,ThinkPad T14 2021 20W0S0TC00,ThinkPad T14 2021,14inches,1year Warranty,Ultrabook,No,11th Gen Intel Core i7 1165G7,1920x1080pixels,\u200eWindows 10 Pro\n (64-bit),3 Cell Battery,No,11th Gen,16GB DDR4,No,65W AC Adapter,512GB,12MB,No,329x227x18mm,Yes,Yes,Yes,4 x (Turbo Speed upto 4.7GHz) Cores,3200MHz,"Quad Core, 8 Threads","\u200eLaptop with Battery, Adapter, User Manual",1.53kg,No,Intel,"Business, Performance","1 x USB Type-C, 2 x USB 3.0",No,Yes,IPS,"67,000"
4.65,55,2,50,231,329,2352,~ 141PPI,1 x HDMI Port,802.11 b/g/n/ax,Dual array Far-Field Microphone,v5,No,Standard Notebook Keyboard,Yes,Stereo Speakers,No,Yes,Nvidia Quadro T1200,21D8S00V00,P15v,15.6inches,1year Warranty,Netbook,No,12th Gen Intel Core i7 12800H,1920x1080pixels,Windows 11 Professional (64-bit),6 Cell Battery,"Full HD LED Backlit IPS Display, 300 nits, 45% NTSC",12th Gen,32GB DDR5,No,No,1TB,24MB,No,No,with Multi-touch Gesture Support,Yes,Yes,6 x (Turbo Speed upto 4.8GHz) Performance Cores  8 x (Turbo Speed upto 3.7GHz) Efficient Cores,4800MHz,"14 Cores (6P + 8E), 20 Threads","\u200eLaptop , Adaptor & User Manuals",2.2kg,No,Intel,Everyday Use,"1 x USB Type-C, 2 x USB 3.0",10nm,Yes,LED,"1,59,990"
4.2,68,2,217,231,1310,2352,~ 137PPI,1 x HDMI Port,IEEE 802.11a/b/g/n/ac/ax,Integrated Dual Array Digital Microphones,v5.2,No,Full-size 4-zone RGB backlit Shadow Black Keyboard,Yes,Dual Speakers with Subwoofer,Yes,Yes,NVIDIA GeForce RTX 3050 Graphics,Omen 16-B0351TX,Omen,16.1inches,1year Warranty,Netbook,No,11th Gen Intel Core i7 11800H,1920x1080pixels,Windows 10 Home (64-bit),4 Cell Battery,"144 Hz Refresh Rate, Micro-edge, Anti-glare, Low Blue Light, Brightness: 300 nits, 137 ppi, Color Gamut: 100% sRGB, TUV Eyesafe, Flicker-Free",11th Gen,16GB DDR4,No,No,1TB,24MB,No,369x248x22.5mm,"Multi-touch Gesture Support, Precision Touchpad Support\n",Yes,Yes,8 x 2.3GHz (Turbo Speed upto 4.6GHz) Cores,3200MHz,"Octa Core, 16 Threads",No,2.32kg,No,Intel,Gaming,"1 x USB Type-C, 2 x USB 3.0",No,Integrated 10/100/1000 Gigabit Ethernet LAN,IPS,"1,44,999"
4.05,71,2,74,159,205,2352,~ 147PPI,1 x HDMI Port,Yes,Yes,Yes,No,Backlit English Keyboard,Yes,Yes,Yes,Yes,Intel Integrated Iris Xe,20VE00W4IH,ThinkBook 15,15.6inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i7 1165G7,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,No,11th Gen,16GB DDR4,No,No,512GB,12MB,No,No,Yes,Yes,Yes,4 x 1.2GHz (Turbo Speed upto 4.7GHz) Cores,No,"Quad Core, 8 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",No,Yes,Intel,Performance,"2 x USB Type-C, 2 x USB 3.0",10 nm SuperFin,Yes,Full HD IPS LED Display,"1,85,990"
4.05,83,2,71,139,448,2352,~ 141PPI,1 x HDMI 1.4 Port,IEEE 802.11a/b/g/n/ac,Dual Array Microphones,v5.1,No,No,Yes,Stereo Speakers,No,Yes,Intel Iris Xe Graphics,Slim 5 82L300A9IN,IdeaPad Slim 5,14inches,1year Onsite Warranty,No,No,11th Gen Intel Core i5 1135G7,1920x1080pixels,Windows 10 Home (64-bit),3 Cell Battery,"60 Hz Refresh Rate, 300 Nits Brightness, 100 Percent SRGB compliant",11th Gen,16GB DDR4,No,65W Slim Tip AC Adaptor\n,512GB,8MB,No,312x221x16.9mm,Yes,Yes,Yes,4 x (Turbo Speed upto 4.2GHz) Cores,3200MHz,"Quad Core, 8 Threads","Laptop, Power Adapter, User Manual",1.38kg,No,Intel,Everyday Use,"2 x USB 3.0, 1 x USB 2.0",No,No,IPS Screen,"1,13,990"
4.1,86,2,250,332,1310,2352,~ 141PPI,1 x HDMI Port,Yes,Yes,v5,No,English,Yes,2W Dual Stereo speakers,Yes,Yes,Nvidia Quadro T500,"20W7S0GA00, Thinkpad P15s Gen 2 Mobile WorkStation",Thinkpad P15s Gen 2 Mobile Workstation,15.6inches,3years Onsite Warranty,Netbook,No,11th Gen Intel Core i7 1165G7,1920x1080pixels,Windows 10 Pro (64-bit),No,Full HD IPS 300 Nits AntGlare,11th Gen,32GB DDR4,No,No,1TB,12MB,No,365x248x19.1mm,No,Yes,Yes,4 x 1.2GHz (Turbo Speed upto 4.7GHz) Cores,No,"Quad Core, 8 Threads","Laptop, Adapter & User Manuals",1.75kg,No,Intel,Business,"1 x USB Type-C, 2 x USB 3.0",10 nm SuperFin,Yes,IPS,"76,990"
4.7,55,3,314,376,1622,2352,~ 157PPI,1 x HDMI Port,"WiFi 6 (11ax, 2x2)",Built-in Microphone,v5.1,No,English Keyboard,Yes,Built-in Speakers,Yes,Yes,Intel UHD,82R70068IN,Core i5,14inches,1year Warranty,2 In 1,Yes,12th Gen Intel Core i5 1235U,1920x1200pixels,Windows 11 Home Basic (64-bit),"52.5Wh, 3 Cell Battery",Full HD IPS Technology 250Nits Brightness Glossy Touch Screen Display,12th Gen,8GB LPDDR4x,No,No,512GB,12MB,No,322x218x18mm,Multi-Touch Gestures Enabled,Yes,Yes,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,4266MHz,"10 Cores (2P + 8E), 12 Threads","Main Unit, Charging Cable, Charging Adapter",1.5kg,No,Intel,Everyday Use,"1 x USB Type-C, 2 x USB 3.0",10 nm,No,LED,"69,990"
4.5,114,2,116,231,292,2352,~ 166PPI,No,Killer Wi-Fi 6 AX1650,Built-In Microphone,v5,No,"Standard English , Yes",Yes,In-Built Speakers,Yes,No,Intel Iris Xe,"XPS 13 9305, XPS 9305",XPS,13.3inches,1year Warranty,Netbook,No,11th Gen Intel Core i5 1135G7,1920x1080pixels,Windows 10 (64-bit),4 Cell Battery,Full HD LED Backlit Infinity Edge Display,11th Gen,16GB LPDDR4X,No,No,512GB,8MB,No,302x199x16mm,Yes,Yes,Yes,4 x 2.4GHz (Turbo Speed upto 4.2GHz) Cores,4267MHz,"Quad Core, 8 Threads","Laptop, Battery, Adapter, Cables and User Manuals",1.16kg,Kensington Lock Port,Intel,Performance,1 x USB Type-C,No,Not Available,LED,"1,53,900"
4.4,98,2,240,376,1222,2352,~ 157PPI,1 x HDMI 2.0 Port,Realtek Wi-Fi CERTIFIED 6 (1x2),Built-in Dual Array Digital Microphone,v5.2,No,"Full-size, backlit, natural silver keyboard, Yes",Yes,Built-in Dual Speakers,Yes,No,Intel Integrated UHD,"14-dy0186TU, 14-dy0186TU",Pavilion,14inches,1year Onsite Warranty,Hybrid,Yes,11th Gen Intel Core i3 1125G4,1920x1080pixels,Windows 11 Home (64-bit),"43Wh, 3 Cell Battery","Full HD, Multitouch-enabled Edge-to-edge Glass, Micro-edge, Brightness: 250 nits, color gamut: 45% NTSC",11th Gen,8GB DDR4,No,No,512GB,8MB,No,322x209x19.1mm,HP Imagepad with Multi-touch Gesture Support,Yes,Yes,4 x (Turbo Speed upto 3.7GHz) Cores,No,"Quad Core, 8 Threads","Laptop, Battery, Adapter, Cables and User Manuals",1.52kg,"Energy Star Certified, EPEAT Silver Registered",Intel,Everyday Use,"1 x USB Type-C, 2 x USB 2.0",No,No,IPS,"71,990"
4.15,63,2,177,227,1261,2352,~ 141PPI,1 x HDMI 2.0 Port,Wi-Fi 6 2x2 AX,2x Array Microphones,v5,No,Full-size 4-Zone white Backlit legendary TrueStrike Keyboard,Yes,2x 2W Dual Speakers,Yes,Yes,NVIDIA GeForce GTX 1650,IdeaPad Gaming 3 15IHU6 82K1017WIN,IdeaPad Gaming 3,15.6inches,1year Onsite Warranty,Netbook,No,11th Gen Intel Core i5 11300H,1920x1080pixels,Windows 11 Home (64-bit),"45Wh, 3 Cell Battery","250nits, 45% NTSC, DC dimmer",11th Gen,8GB DDR4,No,135 W Adapter,512GB,8MB,45Wh,360x252x24mm,Yes,Yes,HD 720p with E-camera Shutter,4 x 3.1GHz (Turbo Speed upto 4.4GHz) Cores,3200MHz,"Quad Core, 8 Threads",No,2.25kg,No,Intel,Gaming,"1 x USB Type-C, 2 x USB Type-A, 2 x USB 3.0",No,Integrated 100/1000 Gigabit Ethernet LAN,IPS,"1,07,400"
4.35,298,2,238,481,1126,2352,~ 157PPI,1 x HDMI Port,"Wi-Fi 6 (Gig+), 802.11 ax 2x2",Internal Dual Array Digital Mic,v5.1,NVMe,No,Yes,Stereo Speakers,Yes,Yes,Intel Iris Xe Graphics,np750xfg-ka2in,Galaxy Book3,15.6inches,1year Warranty,Netbook,No,13th Gen Intel Core i5 1335U,1920x1080pixels,\u200eWindows 11 Home (64-bit),54Wh Battery,No,13th Gen,8GB LPDDR4x,No,45 W USB Type-C Adapter,512GB,12MB,54 Wh,356.6x229.1x15.4mm,Yes,Yes,Yes,2 x (Turbo Speed upto 4.6GHz) Performance Cores  8 x (Turbo Speed upto 3.4GHz) Efficient Cores,No,"10 Cores (2P + 8E), 12 Threads","\u200eSet, TA & C to C cable, Quick start Guide",1.57kg,Yes,Intel,"Business, Performance","2 x USB Type-C, 2 x USB 3.0",10 nm SuperFin,No,LED,"58,999"
4.7,97,2,57,481,658,2352,~ 243PPI,1 x HDMI 2.1 Port,6E(802.11ax) Dual band) 2*2,Yes,v5,NVMe PCIe Gen3,Backlit Chiclet Keyboard,Yes,Built-in Speakers,Yes,Yes,AMD Radeon AMD,UM3402YA-KM551WS,Zenbook 14 OLED (2023),14inches,1year Onsite Warranty,Ultrabook,No,7th Gen AMD Ryzen 5 7530U,2880x1800pixels,Windows 11 Home (64-bit),75Wh Battery,"600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display",7th Gen,16GB LPDDR4X,No,65W Power Adapter,1TB,16MB,75 WHrs Li-ion,313.6x220.6x16.9mm,Yes,Yes,Yes,6 x 2GHz (Turbo Speed upto 4.5GHz) Cores,4266MHz,"Hexa Core, 12 Threads","Laptop, battery, power adapter, user guide",1.39kg,No,AMD,Performance,"2 x USB Type-C, 1 x USB 3.0",No,No,OLED,"58,990"
4.6,145,3,283,332,1596,2352,~ 243PPI,1 x HDMI 2.0b Port,Wi-Fi 6E (802.11 ax),Built-in Microphone,v5.2,No,Backlit Chiclet Keyboard,Yes,Built-in Speaker,Yes,Yes,Intel Iris Xe,UX3402ZA-KM531WS,Zenbook 14 OLED (2022),14inches,1year Onsite Warranty,Ultrabook,No,12th Gen Intel Core i5 1240P,2880x1800pixels,Windows 11 Home,4 Cell Battery,No,12th Gen,16GB LPDDR5,No,No,512GB,12MB,No,313.6x220.6x16.9mm,Yes,No,Yes,4 x 1.7GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 1.2GHz (Turbo Speed upto 3.3GHz) Efficient Cores,No,"12 Cores (4P + 8E), 16 Threads","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",1.39kg,Function key lock,Intel,Performance,1 x USB 3.0,12 nm,No,"OLED, 90 Hz","74,990"
4.3,87,2,88,270,666,2352,~ 141PPI,1 x HDMI Port,Yes,Yes,Yes,No,No,Yes,Inbuilt,No,Yes,NVIDIA MX550,Inspiron 3520,Inspiron,15.6inches,1year Warranty,Hybrid,Yes,12th Gen Intel Core i5 1235U,1920x1080pixels,Windows 11 Home (64-bit),6 Cell Battery,No,12th Gen,8GB DDR4,No,65W Type-C EPEAT Adapter,512GB,12MB,No,No,Yes,Yes,Yes,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,3200MHz,"10 Cores (2P + 8E), 12 Threads","Laptop, Adaptor",No,No,Intel,"Everyday Use, Business, Performance","2 x USB 3.0, 1 x USB 2.0",10 nm,No,No,"84,990"
4.45,112,2,250,315,1310,2352,~ 141PPI,1 x HDMI 2.1 Port,Realtek 6 (2x2),Built-in Dual Array Digital Microphones,v5.3,NVMe,"Full-size, soft grey keyboard with numeric keypad",Yes,Built-in Dual Speakers,No,Yes,Intel Integrated Integrated,15-fd0012TU,Core i5,15.6inches,1year Onsite Warranty,Ultrabook,No,13th Gen Intel Core i5 1335U,1920x1080pixels,Windows 11 Home (64-bit),"41Wh, 3 Cell Battery","Brightness: 250 nits, Color Gamut: 45%NTSC",13th Gen,8GB DDR4,No,No,1TB,12MB,41 Wh Li-ion Battery,No,Yes,Yes,HP Wide Vision 720p HD camera,2 x (Turbo Speed upto 4.6GHz) Performance Cores  8 x (Turbo Speed upto 3.4GHz) Efficient Cores,No,"10 Cores (2P + 8E), 12 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.6kg,No,Intel,Performance,"1 x USB Type-C, 2 x USB 3.0",10nm,No,No,"88,050"
4.35,55,2,257,376,1309,2352,~ 141PPI,1 x HDMI v2.0 Port,IEEE 802.11ac (2x2),Dual Array Microphone,v5,No,"English Blue LED , Yes",Yes,Built-in Dual Speakers,Yes,Yes,NVIDIA Geforce GTX 1650 Ti,82EY00L4IN,Ideapad Gaming 3,15.6inches,1year Onsite Warranty,Netbook,No,4th Gen AMD Ryzen 5  4600H,1920x1080pixels,Windows 10 Home (64-bit),45Wh Battery,"Full HD LED Backlit IPS Display (60 Hz Refresh Rate, 250 nits Brightness, 45% NTSC Color Gamut)",4th Gen,8GB DDR4,No,135 W AC Adapter,512GB,8MB,No,359x249.6x24.9mm,Multi-touch Touchpad,Yes,Yes,6 x 3GHz (Turbo Speed upto 4GHz) Cores,3200MHz,"Hexa Core, 12 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",2.2kg,No,AMD,"Gaming, Performance","1 x USB Type-C, 2 x USB 3.0",No,100/1000 Mbps,LED,"67,990"
4.45,105,3,315,376,1601,2352,~ 188PPI,1 x HDMI 2.0 Port,Intel Wi-Fi 6 AX201(2 x 2 ax),Yes,v5.1,No,RGB Gaming Keyboard,Yes,2 x 2W,Yes,Yes,NVIDIA GeForce RTX 3070,"Pulse GL66 11UGK-431IN, Pulse GL66 11UGK-431IN",Pulse GL66,15.6inches,2years Warranty,Netbook,No,11th Gen Intel Core i7 11800H,2560x1440pixels,"Windows 10 Home, Windows 10 Home (64-bit)",90Wh Battery,165Hz DCI-P3 100%,11th Gen,16GB DDR4,No,No,1TB,24MB,No,359x259x23.95mm,Yes,Yes,Yes,8 x 2.3GHz (Turbo Speed upto 4.6GHz) Cores,No,"Octa Core, 16 Threads","Laptop, battery, power adapter, user guide",2.25kg,No,Intel,Performance,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",No,Gb LAN,QHD,"67,990"
4.4,356,2,86,332,619,2352,~ 166PPI,1 x HDMI Port,IEEE 802.11a/b/g/n/ac,Built-in Microphones,v4.2,No,FineTip Keyboard with Independent Standard Numeric Keypad,Yes,Built-in Dual Speakers,No,No,Intel Integrated UHD 620,SF313-51,Swift 3,13.3inches,1year Warranty,Ultrabook,No,8th Gen Intel Core i5 8250U,1920x1080pixels,Windows 10 Home (64-bit),4 Cell Battery,Full HD LED Backlit IPS Display,8th Gen,8GB DDR4,No,45 W AC Adapter,256GB,6MB,No,308.8x214x15.9mm,Multi Gesture Touchpad,Yes,Yes,4 x 1.6GHz (Turbo Speed upto 3.4GHz) Cores,No,"Quad Core, 8 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.3kg,Kensington Lock Slot,Intel,Performance,"1 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",No,No,LED,"73,990"
4.35,232,2,11,139,151,2352,~ 157PPI,1 x HDMI Port,Yes,Yes,Yes,No,Scissor Mechanism ABS Texture,Yes,2x2W Stereo Speakers,No,Yes,NVIDIA GeForce MX350,Mi Notebook 14 Horizon,Core i7,14inches,No Warranty,Netbook,No,10th Gen Intel  Core i7 10510U,1920x1080pixels,Windows 10 Home (64-bit),No,Wide-viewing Angle,10th Gen,8GB DDR4,No,65W Power Adapter,512GB,8MB,No,321.3x206.8x17.15mm,Multi-touch Support,Yes,Yes,4 x 1.8GHz (Turbo Speed upto 4.9GHz) Cores,2666MHz,"Quad Core, 8 Threads",No,1.35kg,No,Intel,"Business, Performance","2 x USB 3.0, 1 x USB 2.0",No,No,LED,"1,36,750"
4.4,127,3,259,447,1404,2352,~ 141PPI,1 x HDMI 1.4 Port,802.11ac,Yes,v5,No,"English International Non , No",Yes,Yes,Yes,No,Intel Integrated UHD,Inspiron 3501,Inspiron,15.6inches,1year Onsite Warranty,Netbook,No,11th Gen Intel Core i3 1115G4,1920x1080pixels,Windows 10 (64-bit),3 Cell Battery,Full HD WVA AG Narrow Border Display,11th Gen,8GB DDR4,No,No,256GB,6MB,No,329x240x20mm,Yes,Yes,Yes,2 x (Turbo Speed upto 4.1GHz) Cores,2666000MHz,"Dual Core, 4 Threads","Laptop, Battery, Adapter, Cables and User Manuals",1.83kg,Kensington Lock Port,Intel,"Everyday Use, Performance","2 x USB 3.0, 1 x USB 2.0",No,Available,LED,"55,490"
4.15,1,2,225,447,1310,2352,~ 157PPI,1 x HDMI v1.4 Port,Intel Wi-Fi 6 2x2 (Gig+,Yes,v5.1,No,Yes,Yes,Yes,Yes,No,Intel Integrated Iris Xe,Inspiron 5410,Core i7,14inches,1year Onsite Warranty,Hybrid,Yes,11th Gen Intel Core i7 1195G7,1920x1080pixels,"Windows 11 Home, Windows 11 Home (64-bit)",3 Cell Battery,No,11th Gen,16GB DDR4,No,No,512GB,12MB,No,321x211x18.3mm,Touchpad and Active Pen,Yes,Yes,4 x 2.9GHz (Turbo Speed upto 5GHz) Cores,3200MHz,"Quad Core, 8 Threads","Laptop, Active Pen, battery, adapter, cables and user manuals",1.5kg,Kensington Lock Port,Intel,Performance,"1 x USB Type-C, 2 x USB 3.0",No,No,Full HD WVA Truelife Touch Narrow Border 60Hz,"56,990"
4.7,93,2,48,272,1303,2352,~ 157PPI,1 x HDMI Port,Yes,Yes,Yes,No,Scissor Mechanism ABS Texture,Yes,2x2W Stereo Speakers,No,Yes,NVIDIA GeForce MX250,Mi notebook 14,Core i5,14inches,No Warranty,Netbook,No,10th Gen Intel Core i5 10210U,1920x1080pixels,Windows 10 Home (64-bit),No,Wide-viewing Angle,10th Gen,8GB DDR4,No,65W Power Adapter,512GB,6MB,No,323x228x17.95mm,Multi-touch Support,Yes,Yes,4 x 1.6GHz (Turbo Speed upto 4.2GHz) Cores,2666MHz,"Quad Core, 8 Threads",No,1.5kg,No,Intel,"Business, Performance","2 x USB 3.0, 1 x USB 2.0",No,No,LED,"43,990"
4.4,127,2,160,139,1044,2352,~ 157PPI,1 x HDMI Port,Yes,Yes,Yes,No,Scissor Mechanism ABS Texture,Yes,2x2W Stereo Speakers,No,Yes,Intel UHD Graphics,Mi notebook 14,Core i5,14inches,No Warranty,Netbook,No,10th Gen Intel Core i5 10210U,1920x1080pixels,Windows 10 Home (64-bit),No,Wide-viewing Angle,10th Gen,8GB DDR4,No,65W Power Adapter,256GB,6MB,No,323x228x17.95mm,Multi-touch Support,Yes,Yes,4 x 1.6GHz (Turbo Speed upto 4.2GHz) Cores,2666MHz,"Quad Core, 8 Threads",No,1.5kg,No,Intel,"Business, Performance","2 x USB 3.0, 1 x USB 2.0",No,No,LED,"1,19,499"
